,type,,,,,,,,,
,texture,shape,status,pose/action,object,brightness,location,size,hue,other
image,,,,,,,,,,
A1,5,6,8,2,60,4,24,2,24,16
A2,6,6,5,10,24,4,15,1,29,5
A3,2,15,15,2,66,3,24,3,28,23
A4,11,14,35,15,64,10,27,9,47,21
A5,14,24,8,0,35,20,59,19,47,21
A6,4,9,21,6,40,12,29,8,38,9
A7,1,27,36,13,28,2,21,18,29,25
A8,8,22,26,2,27,8,13,11,26,29
