name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y
wallpaper,0,0,,"wallpaper, inside, room, pattern, dark",,,25-Jul-2019 14:01:11,46,A2OMYDY8G8PNJE,2205,1098,2273,803,2371,909,2379,1121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nose,0,0,,"woman_s nose, face, shape, middle of face, average",,,25-Jul-2019 14:02:46,47,A2OMYDY8G8PNJE,1333,1939,1371,2227,1280,2242,1288,2311,1333,2273,1379,2273,1371,2318,1424,2318,1462,2258,1470,2318,1492,2197,1455,2144,1432,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
chin,0,0,,"chin, man_s chin, old skin, wrinkled, bottom of face",,,25-Jul-2019 14:03:24,48,A2OMYDY8G8PNJE,3811,2250,3682,2333,3409,2326,3265,2250,3242,2182,3402,2159,3530,2182,3644,2182,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pillar,0,0,,"pillar, post, column, white, porch post, vertical",,,25-Jul-2019 14:04:48,49,A2OMYDY8G8PNJE,2545,2167,2545,2424,2545,2470,2538,2545,2598,2523,2598,2402,2598,2356,2621,2235,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overalls,0,0,,"overalls, old, worn, blue, dingy, work outfit, farmer clothes",,,25-Jul-2019 14:05:48,50,A2OMYDY8G8PNJE,3235,3629,3856,3583,3803,4462,3894,5235,4038,5924,3159,5924,3152,5583,3205,5318,3189,4530,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
border,0,0,,"decorative, border, roof, eave",,,25-Jul-2019 14:46:46,51,A3168WVUAPEYY,1826,758,1841,1780,1856,1765,1765,1758,1667,1402,1667,1280,1674,1242,1674,1114,1667,970,1674,902,1705,871,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,0,0,,"shingles, roof, dark, wood",,,25-Jul-2019 14:47:19,52,A3168WVUAPEYY,1970,1773,2939,1788,3076,1841,4023,1962,4121,2023,4061,2076,3818,2076,3114,2068,2886,2091,2538,2091,1992,2053,1833,2053,1879,1773,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
barn,0,0,,"red, barn, wood, behind",,,25-Jul-2019 14:48:28,53,A3168WVUAPEYY,4606,2379,4606,2538,4659,2583,4848,2652,4879,2705,4932,2773,4955,2902,4962,2386,4879,2371,4689,2409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
side of barn,0,0,,"red, side, barn",,,25-Jul-2019 14:49:03,54,A3168WVUAPEYY,4553,2500,4462,2470,4432,2432,4447,2227,4477,1992,4508,1977,4553,2250,4583,2386,4576,2447,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overalls,0,0,,"hem, overalls, blue",,,25-Jul-2019 14:49:34,55,A3168WVUAPEYY,3235,4530,3371,4530,3598,4523,3720,4477,3773,4424,3788,4477,3765,4538,3636,4568,3614,4576,3424,4583,3348,4583,3280,4583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pot,0,0,,"left side, brown, plant pot",,,25-Jul-2019 18:19:51,56,A2M3QMJC99DERS,199,3325,199,3369,205,3411,237,3411,258,3345,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,0,0,,"left side, pointy, green, three stems",,,25-Jul-2019 18:20:27,57,A2M3QMJC99DERS,235,3328,223,3274,223,3233,217,3176,217,3114,229,3075,243,3037,249,3111,252,3236,270,3093,276,3135,255,3301,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iris,0,0,,"left iris, grey, round",,,25-Jul-2019 18:21:09,58,A2M3QMJC99DERS,1538,1944,1520,1986,1550,2024,1573,2013,1576,1980,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
iris,0,0,,"right iris, grey, round",,,25-Jul-2019 18:21:24,59,A2M3QMJC99DERS,1244,1959,1226,1927,1187,1927,1181,1962,1196,1989,1235,1989,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lip,0,0,,"upper lip, natural color",,,25-Jul-2019 18:22:00,60,A2M3QMJC99DERS,1237,2471,1302,2465,1351,2473,1388,2479,1450,2479,1497,2485,1437,2440,1419,2428,1384,2444,1357,2424,1292,2444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lip,0,0,,"bottom lip, natural color",,,25-Jul-2019 18:22:21,61,A2M3QMJC99DERS,1243,2485,1292,2506,1339,2520,1378,2524,1442,2510,1505,2491,1276,2473,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hair,0,0,,"strand, loose, blond, soft",,,25-Jul-2019 18:23:01,62,A2M3QMJC99DERS,749,2356,748,2436,765,2496,796,2535,814,2586,824,2649,810,2703,804,2785,818,2871,878,2936,835,2852,824,2775,845,2705,857,2627,849,2561,798,2479,785,2440,790,2399,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky,0,0,,"blue, background, clean",,,25-Jul-2019 18:35:18,63,AOV97Z3YMKLAQ,4003,37,3975,672,4656,755,4942,709,4951,28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear,0,0,,"left, face, man",,,25-Jul-2019 18:35:51,64,AOV97Z3YMKLAQ,2770,1362,2963,1390,3074,1592,3055,1721,3028,1767,2862,1656,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
arm,0,0,,"left, upper limb, body part",,,25-Jul-2019 18:36:48,65,AOV97Z3YMKLAQ,2190,5890,2503,5402,2319,5061,2291,4555,2043,4169,1933,4169,1528,4739,1528,4905,1712,5365,1905,5779,1914,5871,1988,5926,2126,5926,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
overalls,0,0,,"jeans, clothing, man",,,25-Jul-2019 18:37:47,66,AOV97Z3YMKLAQ,3230,3497,3856,3451,3966,5871,3267,5917,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ear,0,0,,"right, face, head",,,25-Jul-2019 18:38:22,67,AOV97Z3YMKLAQ,4031,1712,4187,1380,4086,1316,3975,1344,3874,1491,3874,1583,3966,1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
