name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y
window,0,0,,"glass, panes, light",,,25-Jul-2019 10:02:01,10,A1CJ8CLM7987EQ,355,2431,299,3384,57,3384,24,2213,331,2277,420,2423,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"rectangle, white, house",,,25-Jul-2019 10:12:55,11,A2HC04434S9TP0,1857,2213,2140,2245,2161,2675,2098,3063,2056,3094,1867,3136,1846,2979,1825,2664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,"green, branches, background, circular",,,25-Jul-2019 10:13:48,12,A2HC04434S9TP0,430,1563,346,1385,189,1301,73,1259,10,1269,10,1573,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fork,0,0,,"tool, steel, trident, medium size",,,25-Jul-2019 10:14:56,13,A2HC04434S9TP0,3136,2528,3231,4395,3115,4542,2885,4626,2822,4668,2853,4962,2874,5182,2853,5434,2759,5444,2696,5371,2675,4573,2455,4594,2171,4448,2129,4175,2024,3724,2087,3430,2056,3105,2045,2874,2056,2580,2087,2486,2182,2538,2192,2696,2192,2937,2161,3283,2192,3535,2192,3724,2192,3892,2203,4070,2255,4322,2318,4458,2423,4500,2528,4500,2612,4510,2633,4301,2633,4175,2633,3892,2633,3619,2612,3388,2612,2937,2601,2738,2601,2549,2643,2455,2717,2497,2759,2664,2738,2906,2790,3294,2801,3724,2790,3997,2748,4301,2748,4448,2822,4531,2979,4552,3073,4437,3126,4238,3126,3902,3147,3503,3168,3126,,,,,,,,,,
roof,0,0,,"light brown, square, triangle, land,",,,25-Jul-2019 10:16:07,14,A2HC04434S9TP0,4395,2350,4479,1647,4563,2339,4951,2350,4951,1678,4521,1678,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky,0,0,,"blue, foggy, clouds, air",,,25-Jul-2019 10:17:57,15,A2HC04434S9TP0,3986,1741,3965,1920,4059,1972,4143,1962,4217,1983,4290,2003,4364,1920,4427,1878,4458,1636,4815,1636,4962,1636,4951,1510,4962,10,2297,10,10,0,10,1238,136,1238,231,1280,294,1311,325,1343,430,1301,524,1269,598,1196,577,1028,682,1196,692,1206,766,1133,934,1091,1133,1112,1185,1122,1416,1049,1437,934,1615,734,1762,619,1972,451,2014,367,2182,231,2182,52,2224,84,2234,210,2245,283,2297,315,2455,441,2675,629,2790,776,2906,892,3010,734,3136,661,3336,566,3493,566,3713,566,3839,640,3976,766,4038,871,4059,997,4080,1185,4101,1301,4164,1311,4227,1353,4185,1573,4122,1678,4080,1731
male,0,0,,"elderly man, stern, bald, angry, glasses, religious",,,25-Jul-2019 10:51:21,16,ZCgDVlkp5,2905,1283,2939,884,3087,702,3321,572,3746,581,4006,841,4092,1266,4136,1327,4179,1361,4118,1561,4014,1691,4006,1743,3936,1942,3893,2107,3910,2332,4890,2757,4934,5957,1908,5957,1526,4890,1786,4335,2185,2714,2584,2532,2965,2454,3173,2272,3165,2046,3026,1777,2983,1777,2818,1517,2818,1344,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lips,0,0,,"male lips, stern, straight, closed, elderly",,,25-Jul-2019 10:52:28,17,ZCgDVlkp5,3329,2046,3468,2003,3520,2029,3581,2003,3668,2038,3728,2081,3572,2124,3408,2107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
pinafore,0,0,,"patterned, brown, smart, conservative, clean.",,,25-Jul-2019 10:53:41,18,ZCgDVlkp5,546,3425,841,3737,1223,3815,1621,3798,1873,3598,1812,4257,1517,4855,1847,5948,338,5913,355,5289,434,4934,286,4509,225,4058,0,3728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eye,0,0,,"female, eyeball, blue, distant, sad.",,,25-Jul-2019 10:54:16,19,ZCgDVlkp5,1058,1951,1266,1890,1292,1994,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
collar,0,0,,"white, clean, smart, outfit, collar",,,25-Jul-2019 10:54:53,20,ZCgDVlkp5,1370,3303,1569,3442,1743,3225,1587,3035,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
fork,0,0,,"brown,big,long,",,,25-Jul-2019 11:43:02,21,A333QTK67VO0J3,3005,4055,3151,4076,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house roof,0,0,,"brown,big,strong.",,,25-Jul-2019 11:44:17,22,A333QTK67VO0J3,2454,1934,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
plant,0,0,,"organic, vase, decoration",,,25-Jul-2019 11:55:21,23,A1X9BD3KDIA2QB,425,3110,591,3157,559,3268,496,3331,402,3386,346,3386,331,3299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trees,0,0,,"green, organic, good",,,25-Jul-2019 11:55:48,24,A1X9BD3KDIA2QB,4126,2268,4165,2157,4299,2118,4331,2228,4315,2370,4157,2331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
button,0,0,,"decoration, usefull, essencial",,,25-Jul-2019 11:56:20,25,A1X9BD3KDIA2QB,3480,3094,3559,3008,3638,3079,3598,3173,3528,3197,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,0,0,,"house, protection",,,25-Jul-2019 11:57:13,26,A1X9BD3KDIA2QB,55,1953,551,1843,575,2071,47,2094,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"glass, decoration",,,25-Jul-2019 11:57:42,27,A1X9BD3KDIA2QB,2488,2268,2252,2268,2268,2622,2504,2520,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
jacket,0,0,,"black,cloth,pocket,man",,,25-Jul-2019 12:04:34,28,%20COPIEDA3UMDMF589FDPZ,4390,3746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"window,closed window,mud colour",,,25-Jul-2019 12:10:51,29,%20COPIEDA3UMDMF589FDPZ,382,2278,382,3209,668,3209,668,2338,501,2290,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lips,0,0,,"women ,lips,smiley,cute",,,25-Jul-2019 12:14:22,30,%20COPIEDA3UMDMF589FDPZ,1169,2410,1396,2398,1527,2481,1360,2529,1229,2493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,1,0,,"roof,brown,lines,",,,25-Jul-2019 12:16:00,31,%20COPIEDA3UMDMF589FDPZ,12,1634,692,1598,584,1801,12,1920,95,1598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand,0,0,,"righthand,four fingers,light brown,toe",,,25-Jul-2019 12:17:36,32,%20COPIEDA3UMDMF589FDPZ,2457,5380,3125,5511,2982,5928,2231,5905,2577,5427,2565,5511,2529,5439,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,1,0,,"roof,brown,vertical lines",,,25-Jul-2019 12:20:09,33,%20COPIEDA3UMDMF589FDPZ,83,1610,632,1598,561,1765,0,1873,24,1539,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
woman,1,0,,"woman, many work done on homes",,,25-Jul-2019 12:27:50,34,A2C8QIT0DJRCHN,632,2018,948,1304,1202,1243,1610,1437,1773,1814,1783,2334,1620,2711,1569,2965,1936,3393,1936,3353,1539,4820,1549,4840,1844,5941,1080,5951,377,5900,346,5319,418,4932,296,4514,224,4147,10,3740,224,3577,520,3332,713,3128,866,2945,907,2507,713,2242,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyes,0,0,,eyes are see all things to and help more,,,25-Jul-2019 12:33:06,35,A2C8QIT0DJRCHN,1427,1916,1569,1885,1651,1936,1671,2028,1630,2038,1590,2038,1498,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nose,0,0,,nose is a very important for life,,,25-Jul-2019 12:36:06,36,A2C8QIT0DJRCHN,3434,1529,3424,1630,3424,1722,3424,1722,3373,1753,3414,1814,3454,1824,3516,1824,3577,1844,3638,1834,3597,1732,3546,1702,3546,1641,3546,1590,3546,1539,3536,1498,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
face,0,0,,face is a important to human life,,,25-Jul-2019 12:39:31,37,A2C8QIT0DJRCHN,1334,1416,1183,1497,1095,1602,1014,1684,973,1789,932,1934,839,2086,822,2167,839,2272,868,2354,909,2424,926,2511,961,2593,996,2663,1037,2703,1072,2733,1124,2767,1177,2791,1276,2826,1363,2820,1474,2808,1474,2738,1503,2680,1526,2593,1579,2482,1649,2342,1707,2202,1713,2092,1736,1987,1707,1818,1672,1707,1637,1626,1561,1538,1515,1492,1451,1433,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
forehead,0,0,,"forehead the forehead is an area of the head bounded by three features, two of the skull and one of the scalp. the top of the forehead is marked by the hairline, the edge of the area where hair on the scalp grows.",,,25-Jul-2019 12:41:14,38,A2C8QIT0DJRCHN,3006,1340,3135,1224,3315,1218,3443,1270,3566,1247,3641,1200,3717,1171,3787,1154,3857,1194,3944,1253,3985,1270,3979,1107,3968,915,3880,781,3770,658,3671,623,3531,594,3414,606,3321,618,3257,653,3204,682,3158,734,3094,763,3047,810,3018,851,2977,915,2971,973,2954,1049,2960,1124,2960,1189,2960,1253,2960,1311,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,brown,,,25-Jul-2019 12:47:16,39,A2NVNFIOKLEEGY,2220,1406,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
eyes,0,0,,white,,,25-Jul-2019 12:47:54,40,A2NVNFIOKLEEGY,3236,1429,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nose,0,0,,brown,,,25-Jul-2019 12:48:09,41,A2NVNFIOKLEEGY,3531,1736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,black,,,25-Jul-2019 12:48:28,42,A2NVNFIOKLEEGY,201,2657,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
hand,0,0,,brown,,,25-Jul-2019 12:48:53,43,A2NVNFIOKLEEGY,2681,5693,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,brown,,,25-Jul-2019 12:49:40,44,A2NVNFIOKLEEGY,2657,2031,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,0,0,,"roof, tin roof, brown, left side, panels",,,25-Jul-2019 14:00:24,45,A2OMYDY8G8PNJE,591,1795,8,1932,30,1583,667,1561,720,1583,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
