name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y,polygon/pt/62/x,polygon/pt/62/y,polygon/pt/63/x,polygon/pt/63/y,polygon/pt/64/x,polygon/pt/64/y,polygon/pt/65/x,polygon/pt/65/y,polygon/pt/66/x,polygon/pt/66/y,polygon/pt/67/x,polygon/pt/67/y,polygon/pt/68/x,polygon/pt/68/y,polygon/pt/69/x,polygon/pt/69/y,polygon/pt/70/x,polygon/pt/70/y,polygon/pt/71/x,polygon/pt/71/y,polygon/pt/72/x,polygon/pt/72/y,polygon/pt/73/x,polygon/pt/73/y,polygon/pt/74/x,polygon/pt/74/y,polygon/pt/75/x,polygon/pt/75/y,polygon/pt/76/x,polygon/pt/76/y,polygon/pt/77/x,polygon/pt/77/y,polygon/pt/78/x,polygon/pt/78/y,polygon/pt/79/x,polygon/pt/79/y,polygon/pt/80/x,polygon/pt/80/y,polygon/pt/81/x,polygon/pt/81/y,polygon/pt/82/x,polygon/pt/82/y,polygon/pt/83/x,polygon/pt/83/y,polygon/pt/84/x,polygon/pt/84/y,polygon/pt/85/x,polygon/pt/85/y,polygon/pt/86/x,polygon/pt/86/y,polygon/pt/87/x,polygon/pt/87/y,polygon/pt/88/x,polygon/pt/88/y,polygon/pt/89/x,polygon/pt/89/y,polygon/pt/90/x,polygon/pt/90/y,polygon/pt/91/x,polygon/pt/91/y,polygon/pt/92/x,polygon/pt/92/y,polygon/pt/93/x,polygon/pt/93/y,polygon/pt/94/x,polygon/pt/94/y,polygon/pt/95/x,polygon/pt/95/y
star,0,0,,"round, top, yellow, blue",,,2019-07-25 11:43,20,A2MOY7J4GG5CW8,3783,18,3564,137,3445,320,3445,484,3527,658,3701,722,3865,749,4057,749,4194,667,4267,521,4286,384,4322,274,4286,164,4167,137,3957,101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud,0,0,,"swirly, dashed, blue",,,2019-07-25 11:56,21,AC9P9SHL0IXBL,50,1074,906,2164,1711,2433,2701,2164,3473,1577,4396,1175,5369,1258,6326,1544,7047,1997,7248,2768,6812,3440,6175,3658,5654,3339,5453,2701,5017,2416,4530,2349,4077,2332,3993,2517,3054,3070,2668,3356,1460,3758,1023,3708,319,3507,34,3322,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"small, lit, unclear",,,2019-07-25 11:57,22,AC9P9SHL0IXBL,8876,7651,8926,8037,9094,8222,9396,8138,9396,7701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
bush,0,0,,"greenish, curly, small",,,2019-07-25 11:57,23,AC9P9SHL0IXBL,67,8289,336,8087,688,8138,654,8289,755,8020,956,7869,1158,7920,1208,8037,1359,7970,1443,8054,1695,8373,1946,8758,84,8809,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
horizon,0,0,,"obstructed, dark, uneven",,,2019-07-25 11:59,24,AC9P9SHL0IXBL,34,6326,638,6544,1091,6779,1560,6544,4161,6376,5017,6057,5487,6242,7601,5554,8003,5671,8624,5856,9044,5688,9295,5755,9748,5503,10218,5436,10990,5453,11124,5403,11124,5571,10084,5638,9614,5789,9362,5956,9111,5889,8758,6024,8473,6007,7668,5772,5571,6443,5436,6493,5084,6275,4312,6527,1493,6846,1124,7013,101,6611,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
cloud layer,0,0,,"white, horizontal, striped",,,2019-07-25 12:00,25,AC9P9SHL0IXBL,84,5218,84,6275,721,6460,1477,6460,4111,6309,5034,6007,5537,6242,7416,5470,7903,5587,9765,5302,9883,4950,10252,4832,10269,4614,10789,4463,11091,4513,11107,4782,11091,3289,9413,3826,8591,4715,7584,4966,7366,4815,7114,4899,6980,5084,6594,4933,6040,5201,5688,5168,5017,5185,3524,5503,1527,5738,940,5101,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moon,0,0,,yellow,,,2019-07-25 13:01,26,A2NVNFIOKLEEGY,10142,1806,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,brown,,,2019-07-25 13:02,27,A2NVNFIOKLEEGY,7259,8388,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky,0,0,,blue,,,2019-07-25 13:02,28,A2NVNFIOKLEEGY,5835,868,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,0,0,,blue,,,2019-07-25 13:02,29,A2NVNFIOKLEEGY,5957,3821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mountain,0,0,,blue,,,2019-07-25 13:02,30,A2NVNFIOKLEEGY,9986,6043,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moon,0,0,,"moon, night sky, yellow, high above, shining, bright",,,2019-07-25 13:50,31,A2OMYDY8G8PNJE,10404,958,9691,1058,9501,1515,9624,1860,9891,2161,10393,2139,10671,1894,10693,1582,10471,1771,10281,1782,10070,1704,9914,1437,9902,1270,10070,1147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light,0,0,,"glow, moon glow, shining, pale, yellow, glow of the moon, brush strokes",,,2019-07-25 13:51,32,A2OMYDY8G8PNJE,10092,267,9011,1058,9000,2005,9635,2451,10192,2584,10794,2384,11061,1849,10994,746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sky,0,0,,"night sky, blue, top, high up, shades of blue, nighttime, moody",,,2019-07-25 13:52,33,A2OMYDY8G8PNJE,11005,602,10248,256,9691,323,9089,568,8822,913,8666,1326,8165,1348,7686,791,7452,590,6951,234,6416,278,6071,423,5436,490,5113,490,4767,401,4378,234,4244,67,5369,111,6661,100,7586,33,8956,78,10170,67,10860,22,11072,67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"glowing, shining, star, yellow, pale, magical",,,2019-07-25 13:53,34,A2OMYDY8G8PNJE,1526,3887,1292,3965,1214,4133,1214,4366,1292,4534,1426,4623,1682,4522,1760,4366,1760,4121,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"house, blue roof, small, bottom, to the left of a tree, simple",,,2019-07-25 13:54,35,A2OMYDY8G8PNJE,1270,7318,880,7329,746,7630,858,7630,858,7808,1359,7920,1292,7641,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
tree,0,0,,"small tree, dark, bottom right, brush strokes, simple",,,2019-07-25 13:56,36,A2OMYDY8G8PNJE,11083,8087,10816,7942,10604,7987,10426,7831,9947,8053,10103,8354,9992,8555,10081,8789,10459,8789,10883,8777,11105,8789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
church,0,0,,"church, white, steeple, bright, middle, tall",,,2019-07-25 13:57,37,A2OMYDY8G8PNJE,5525,7664,5514,7452,5536,7218,5592,7162,5770,7162,5848,7095,6037,7040,6126,7162,6238,7229,6193,7029,6238,6850,6271,6494,6260,6171,6227,5681,6249,5581,6405,6171,6438,6505,6449,6895,6550,7040,6694,7263,6605,7419,6683,7541,6683,7719,6683,7786,6461,7831,6104,7842,6071,7730,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moon,0,0,,"rough, round, big",,,2019-07-25 14:46,38,A0429554JGDWTUQ3MYD0,785,402,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
point,1,0,,round,,,2019-07-25 16:25,39,AZE7YSINS9UNZ,1378,404,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,star,,,2019-07-25 16:26,40,AZE7YSINS9UNZ,2702,276,2757,478,2683,496,2628,515,2426,496,2389,459,2297,368,2297,257,2371,92,2444,37,2702,55,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wind,0,0,,"blue, dark, bright, discontinuous, water like, center side",,,2019-07-25 16:47,41,A396GA8SHS2L41,4429,2408,4062,3051,4043,3529,4209,3860,4356,4209,4668,4742,5091,4889,5661,4889,6065,4558,5091,4337,4779,4209,4723,3970,4870,3694,4907,3437,4889,3143,4926,2904,5293,3180,5551,3235,5422,2775,5238,2628,4907,2555,4760,2463,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
door,0,0,,"dark, small, wooden made, black, rectangular",,,2019-07-25 16:51,42,A396GA8SHS2L41,5801,7366,5811,7640,5958,7629,5948,7377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"dark, small, distant, wooden like, down side",,,2019-07-25 16:52,43,A396GA8SHS2L41,6368,7429,6358,7629,6526,7650,6515,7408,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"small, wooden made, glass, dark, brownish",,,2019-07-25 16:53,44,A396GA8SHS2L41,6515,8112,6505,8312,6788,8302,6820,8102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
window,0,0,,"small, lit, down side, distant, wooden like",,,2019-07-25 16:53,45,A396GA8SHS2L41,7755,7503,7755,7692,7577,7692,7577,7524,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trees,0,0,,"distant, bright, white, bluish, center positioned",,,2019-07-25 16:55,46,A396GA8SHS2L41,5086,6526,5023,6715,5769,6967,6074,6830,5885,6683,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
circle,0,0,,"star,painting,green",,,2019-07-25 17:41,47,AOV97Z3YMKLAQ,2463,1150,2666,1123,2869,1191,3031,1394,3044,1529,3031,1664,3004,1786,2869,1867,2666,1881,2436,1827,2327,1718,2260,1556,2260,1367,2354,1231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ball,0,0,,"little, sky, star",,,2019-07-25 17:44,48,AOV97Z3YMKLAQ,352,3816,582,3748,744,3816,731,3951,785,4100,771,4195,622,4316,379,4343,257,4181,257,3964,257,3897,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
moon,0,0,,"round, green, small",,,2019-07-25 17:46,49,AOV97Z3YMKLAQ,4479,839,4790,758,4885,649,4885,474,4519,365,4397,392,4330,460,4384,677,4370,704,4411,744,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nightfall,0,0,,"big, bright, star",,,2019-07-25 17:47,50,AOV97Z3YMKLAQ,6251,812,6400,474,6617,406,6914,365,7049,460,7185,609,7388,785,7388,907,7320,1028,7198,1218,7009,1326,6752,1326,6495,1218,6359,1082,6251,947,6224,920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
landscape,0,0,,"green, oil paint, art",,,2019-07-25 17:49,51,AOV97Z3YMKLAQ,7415,1718,7848,1651,8078,1718,8254,1854,8308,2016,8308,2273,8254,2408,8132,2503,7902,2530,7712,2436,7577,2314,7442,2084,7334,1921,7347,1827,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
light,0,0,,"middle bottom of the image, a light outside an house",,,2019-07-25 18:23,52,A2CO8IM74HLYTL,5344,7497,5377,7674,5454,7674,5476,7552,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center light of a star,0,0,,"the center of a star, more bright than the aura",,,2019-07-25 18:24,53,A2CO8IM74HLYTL,3831,4670,3931,4825,4030,4814,4129,4704,4085,4615,3975,4560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center of a star,0,0,,"the center of a star, more bright than the aura",,,2019-07-25 18:24,54,A2CO8IM74HLYTL,3599,2827,3577,2948,3699,2970,3754,2915,3732,2849,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
center of the light,0,0,,the core a star,,,2019-07-25 18:24,55,A2CO8IM74HLYTL,1159,375,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
the core of a star,0,0,,"a brighter part of a star, his core, middle up on the left position",,,2019-07-25 18:25,56,A2CO8IM74HLYTL,2595,1513,2617,1612,2683,1612,2738,1535,2716,1491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trees,0,0,,"bottom right, round, bushy, blue, green",,,2019-07-25 18:27,57,A2M3QMJC99DERS,9156,8765,9269,8543,9256,8379,9196,8225,9047,8111,8933,8125,8801,8002,8733,7870,8583,7798,8379,7784,8256,7907,8125,7893,7907,7898,7802,8007,7820,8084,8138,8302,8452,8256,8538,8311,8838,8724,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,0,0,,"middle house, red, rooftop, triangular",,,2019-07-25 18:27,58,A2M3QMJC99DERS,6776,8606,7557,8629,7816,8170,7239,8161,7017,8147,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
roof,0,0,,"small house, triangular, bottom right side of painting",,,2019-07-25 18:28,59,A2M3QMJC99DERS,6294,8034,6853,8016,7053,7780,6435,7798,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
trees,0,0,,"round, group, green, dark",,,2019-07-25 18:29,60,A2M3QMJC99DERS,5268,8184,5472,8193,5636,8193,5690,8066,5786,7925,5954,7780,5727,7716,5463,7693,5295,7761,5282,7634,5091,7607,4841,7584,4710,7630,4809,7743,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,1,0,,"yellow, star, swirl, small, medium-sized, abstract, nucleus, golden, wispy, circular brush strokes, suns, far left, near top, middle-top, gold, left star, smaller star, left of mountain, below first cloud",,,2019-07-25 18:35,61,A1JPFK0JQLTJTC,451,4006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
