name,deleted,verified,occluded,attributes,parts/hasparts,parts/ispartof,date,id,polygon/username,polygon/pt/0/x,polygon/pt/0/y,polygon/pt/1/x,polygon/pt/1/y,polygon/pt/2/x,polygon/pt/2/y,polygon/pt/3/x,polygon/pt/3/y,polygon/pt/4/x,polygon/pt/4/y,polygon/pt/5/x,polygon/pt/5/y,polygon/pt/6/x,polygon/pt/6/y,polygon/pt/7/x,polygon/pt/7/y,polygon/pt/8/x,polygon/pt/8/y,polygon/pt/9/x,polygon/pt/9/y,polygon/pt/10/x,polygon/pt/10/y,polygon/pt/11/x,polygon/pt/11/y,polygon/pt/12/x,polygon/pt/12/y,polygon/pt/13/x,polygon/pt/13/y,polygon/pt/14/x,polygon/pt/14/y,polygon/pt/15/x,polygon/pt/15/y,polygon/pt/16/x,polygon/pt/16/y,polygon/pt/17/x,polygon/pt/17/y,polygon/pt/18/x,polygon/pt/18/y,polygon/pt/19/x,polygon/pt/19/y,polygon/pt/20/x,polygon/pt/20/y,polygon/pt/21/x,polygon/pt/21/y,polygon/pt/22/x,polygon/pt/22/y,polygon/pt/23/x,polygon/pt/23/y,polygon/pt/24/x,polygon/pt/24/y,polygon/pt/25/x,polygon/pt/25/y,polygon/pt/26/x,polygon/pt/26/y,polygon/pt/27/x,polygon/pt/27/y,polygon/pt/28/x,polygon/pt/28/y,polygon/pt/29/x,polygon/pt/29/y,polygon/pt/30/x,polygon/pt/30/y,polygon/pt/31/x,polygon/pt/31/y,polygon/pt/32/x,polygon/pt/32/y,polygon/pt/33/x,polygon/pt/33/y,polygon/pt/34/x,polygon/pt/34/y,polygon/pt/35/x,polygon/pt/35/y,polygon/pt/36/x,polygon/pt/36/y,polygon/pt/37/x,polygon/pt/37/y,polygon/pt/38/x,polygon/pt/38/y,polygon/pt/39/x,polygon/pt/39/y,polygon/pt/40/x,polygon/pt/40/y,polygon/pt/41/x,polygon/pt/41/y,polygon/pt/42/x,polygon/pt/42/y,polygon/pt/43/x,polygon/pt/43/y,polygon/pt/44/x,polygon/pt/44/y,polygon/pt/45/x,polygon/pt/45/y,polygon/pt/46/x,polygon/pt/46/y,polygon/pt/47/x,polygon/pt/47/y,polygon/pt/48/x,polygon/pt/48/y,polygon/pt/49/x,polygon/pt/49/y,polygon/pt/50/x,polygon/pt/50/y,polygon/pt/51/x,polygon/pt/51/y,polygon/pt/52/x,polygon/pt/52/y,polygon/pt/53/x,polygon/pt/53/y,polygon/pt/54/x,polygon/pt/54/y,polygon/pt/55/x,polygon/pt/55/y,polygon/pt/56/x,polygon/pt/56/y,polygon/pt/57/x,polygon/pt/57/y,polygon/pt/58/x,polygon/pt/58/y,polygon/pt/59/x,polygon/pt/59/y,polygon/pt/60/x,polygon/pt/60/y,polygon/pt/61/x,polygon/pt/61/y,polygon/pt/62/x,polygon/pt/62/y,polygon/pt/63/x,polygon/pt/63/y,polygon/pt/64/x,polygon/pt/64/y,polygon/pt/65/x,polygon/pt/65/y,polygon/pt/66/x,polygon/pt/66/y,polygon/pt/67/x,polygon/pt/67/y,polygon/pt/68/x,polygon/pt/68/y,polygon/pt/69/x,polygon/pt/69/y,polygon/pt/70/x,polygon/pt/70/y,polygon/pt/71/x,polygon/pt/71/y,polygon/pt/72/x,polygon/pt/72/y,polygon/pt/73/x,polygon/pt/73/y,polygon/pt/74/x,polygon/pt/74/y,polygon/pt/75/x,polygon/pt/75/y,polygon/pt/76/x,polygon/pt/76/y,polygon/pt/77/x,polygon/pt/77/y,polygon/pt/78/x,polygon/pt/78/y,polygon/pt/79/x,polygon/pt/79/y,polygon/pt/80/x,polygon/pt/80/y,polygon/pt/81/x,polygon/pt/81/y,polygon/pt/82/x,polygon/pt/82/y,polygon/pt/83/x,polygon/pt/83/y,polygon/pt/84/x,polygon/pt/84/y,polygon/pt/85/x,polygon/pt/85/y,polygon/pt/86/x,polygon/pt/86/y,polygon/pt/87/x,polygon/pt/87/y,polygon/pt/88/x,polygon/pt/88/y,polygon/pt/89/x,polygon/pt/89/y,polygon/pt/90/x,polygon/pt/90/y,polygon/pt/91/x,polygon/pt/91/y,polygon/pt/92/x,polygon/pt/92/y,polygon/pt/93/x,polygon/pt/93/y,polygon/pt/94/x,polygon/pt/94/y,polygon/pt/95/x,polygon/pt/95/y
mountain,0,0,,"hill, mountain, mound",,,2019-07-25 9:57,10,A1CJ8CLM7987EQ,8240,5830,7611,5569,6649,5664,6150,5877,5676,6127,5284,6257,4904,6103,4429,6234,4227,6376,4215,6661,4999,6720,5699,6970,6364,6720,7658,6281,8026,6091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"sky, top, center, background, round",,,2019-07-25 10:03,11,AIN29LNXRARXY,6848,389,7394,746,7247,1040,7068,1260,6953,1302,6669,1260,6427,1176,6291,1008,6301,819,6417,620,6553,420,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"sky, top, left, background, round",,,2019-07-25 10:03,12,AIN29LNXRARXY,1197,777,1449,693,1544,473,1523,221,1428,116,1260,63,987,84,851,189,830,410,851,620,956,756,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"sky, top, left, background, round",,,2019-07-25 10:03,13,AIN29LNXRARXY,2626,1155,2815,1208,2951,1323,2983,1481,2972,1701,2888,1817,2689,1859,2416,1754,2321,1649,2279,1449,2405,1260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"bottom, center, dark, rural, village",,,2019-07-25 10:04,14,AIN29LNXRARXY,6322,8507,6249,8066,6427,7793,7079,7751,7247,7950,7247,8118,6974,8055,6722,8517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"background, bottom, center, dark, rural, village",,,2019-07-25 10:05,15,AIN29LNXRARXY,6732,8811,6743,8559,7005,8118,7247,8150,7803,8108,8129,8328,7814,8381,7499,8769,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"yellow, left, round",,,2019-07-25 11:36,16,A2MOY7J4GG5CW8,3541,2634,3251,2828,3347,3021,3444,3154,3686,3178,3819,3142,3903,3021,3952,2840,3867,2707,3734,2634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
star,0,0,,"round, left, white, yellow",,,2019-07-25 11:39,17,A2MOY7J4GG5CW8,508,3770,363,3843,314,3964,290,4169,375,4278,628,4266,701,4205,737,4048,773,3879,689,3758,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"bottom, dark, small",,,2019-07-25 11:41,18,A2MOY7J4GG5CW8,7539,7255,7411,7566,7484,7575,7511,7685,7539,7840,7593,7877,7831,7877,8069,7849,8114,7849,8096,7310,8059,7237,8078,7155,8005,7155,7886,7246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
house,0,0,,"red, bottom, left",,,2019-07-25 11:41,19,A2MOY7J4GG5CW8,4870,7237,4971,7255,5007,7155,5062,7146,5044,7219,5190,7210,5154,7411,5172,7539,5145,7593,4825,7557,4788,7493,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
