"filename","folder","source__sourceImage","source__sourceAnnotation","object__name","object__deleted","object__verified","object__occluded","object__attributes","object__parts__hasparts","object__parts__ispartof","object__date","object__id","object__polygon__username","object__polygon__pt__x","object__polygon__pt__y","imagesize__nrows","imagesize__ncols"
"","","","","","","","","","","","","","","708","555","",""
"","","","","","","","","","","","","","","703","553","",""
"","","","","","","","","","","","","","","701","548","",""
"","","","","","","","","","","","","","","690","548","",""
"","","","","","","","","","","","","","","691","553","",""
"","","","","","","","","","","","","","","684","555","",""
"","","","","","","","","","","","","","","682","554","",""
"","","","","","","","","","","","","","","680","548","",""
"","","","","","","","","","","","","","","675","546","",""
"","","","","","","","","","","","","","","673","546","",""
"","","","","","","","","","","","","","","670","548","",""
"","","","","","","","","","","","","","","668","552","",""
"","","","","","","","","","","","","","","667","554","",""
"","","","","","","","","","","","","","","665","557","",""
"","","","","","","","","","","","","","","660","556","",""
"","","","","","","","","","","","","","","660","553","",""
"","","","","","","","","","","","","","","660","549","",""
"","","","","","","","","","","","","","","659","547","",""
"","","","","","","","","","","","","","","655","547","",""
"","","","","","","","","","","","","","","652","550","",""
"","","","","","","","","","","","","","","652","552","",""
"","","","","","","","","","","","","","","648","554","",""
"","","","","armrest","0","0","","wood, brown, bottom center","","","25-Jul-2019 09:33:46","18","AIN29LNXRARXY","261","1058","",""
"","","","","","","","","","","","","","","279","1117","",""
"","","","","","","","","","","","","","","518","1101","",""
"","","","","","","","","","","","","","","677","1088","",""
"","","","","","","","","","","","","","","670","1053","",""
"","","","","","","","","","","","","","","462","1068","",""
"","","","","","","","","","","","","","","419","1054","",""
"","","","","","","","","","","","","","","407","1060","",""
"","","","","","","","","","","","","","","386","1051","",""
"","","","","","","","","","","","","","","373","1055","",""
"","","","","","","","","","","","","","","330","1043","",""
"","","","","road","0","0","","left side, background, dirt","","","25-Jul-2019 09:47:54","19","AIN29LNXRARXY","75","539","",""
"","","","","","","","","","","","","","","88","566","",""
"","","","","","","","","","","","","","","94","559","",""
"","","","","","","","","","","","","","","103","572","",""
"","","","","","","","","","","","","","","122","583","",""
"","","","","","","","","","","","","","","135","596","",""
"","","","","","","","","","","","","","","142","592","",""
"","","","","","","","","","","","","","","150","595","",""
"","","","","","","","","","","","","","","158","600","",""
"","","","","","","","","","","","","","","158","604","",""
"","","","","","","","","","","","","","","147","612","",""
"","","","","","","","","","","","","","","136","613","",""
"","","","","","","","","","","","","","","129","616","",""
"","","","","","","","","","","","","","","117","616","",""
"","","","","","","","","","","","","","","110","616","",""
"","","","","","","","","","","","","","","103","616","",""
"","","","","","","","","","","","","","","96","616","",""
"","","","","","","","","","","","","","","91","616","",""
"","","","","","","","","","","","","","","84","617","",""
"","","","","","","","","","","","","","","77","618","",""
"","","","","","","","","","","","","","","64","621","",""
"","","","","","","","","","","","","","","60","621","",""
"","","","","","","","","","","","","","","58","624","",""
"","","","","","","","","","","","","","","51","628","",""
"","","","","","","","","","","","","","","45","633","",""
"","","","","","","","","","","","","","","44","637","",""
"","","","","","","","","","","","","","","44","642","",""
"","","","","","","","","","","","","","","44","646","",""
"","","","","","","","","","","","","","","45","647","",""
"","","","","","","","","","","","","","","49","652","",""
"","","","","","","","","","","","","","","52","655","",""
"","","","","","","","","","","","","","","56","658","",""
"","","","","","","","","","","","","","","61","660","",""
"","","","","","","","","","","","","","","67","662","",""
"","","","","","","","","","","","","","","77","664","",""
"","","","","","","","","","","","","","","100","666","",""
"","","","","","","","","","","","","","","101","666","",""
"","","","","","","","","","","","","","","110","665","",""
"","","","","","","","","","","","","","","114","665","",""
"","","","","","","","","","","","","","","122","665","",""
"","","","","","","","","","","","","","","126","666","",""
"","","","","","","","","","","","","","","135","666","",""
"","","","","","","","","","","","","","","144","666","",""
"","","","","","","","","","","","","","","146","666","",""
"","","","","","","","","","","","","","","148","664","",""
"","","","","","","","","","","","","","","148","660","",""
"","","","","","","","","","","","","","","148","658","",""
"","","","","","","","","","","","","","","144","657","",""
"","","","","","","","","","","","","","","134","657","",""
"","","","","","","","","","","","","","","120","656","",""
"","","","","","","","","","","","","","","112","653","",""
"","","","","","","","","","","","","","","101","653","",""
"","","","","","","","","","","","","","","93","652","",""
"","","","","","","","","","","","","","","90","652","",""
"","","","","","","","","","","","","","","88","651","",""
"","","","","","","","","","","","","","","85","649","",""
"","","","","","","","","","","","","","","80","645","",""
"","","","","","","","","","","","","","","76","640","",""
"","","","","","","","","","","","","","","76","638","",""
"","","","","","","","","","","","","","","76","633","",""
"","","","","","","","","","","","","","","78","631","",""
"","","","","","","","","","","","","","","80","630","",""
"","","","","","","","","","","","","","","87","627","",""
"","","","","","","","","","","","","","","94","627","",""
"","","","","","","","","","","","","","","105","626","",""
"","","","","","","","","","","","","","","116","626","",""
"","","","","","","","","","","","","","","118","625","",""
"","","","","","","","","","","","","","","123","625","",""
"","","","","","","","","","","","","","","130","624","",""
"","","","","","","","","","","","","","","141","622","",""
"","","","","","","","","","","","","","","153","619","",""
