,img_id,count,average,stdev
0,1,15,5.533333333333333,2.6457513110645907
1,2,17,4.411764705882353,2.0
2,4,17,3.7058823529411766,1.7320508075688772
3,5,15,4.4,1.4142135623730951
4,9,13,4.923076923076923,1.0
5,11,15,5.333333333333333,1.4142135623730951
6,17,18,4.666666666666667,2.0
7,18,15,5.066666666666666,2.23606797749979
